# Frequency (cm-1), IR Intensity (km/mol), Raman Intensity (A2/amu)
7.617724839283928873e+01,9.730870675005431902e-02,2.224900401142507755e-01
7.654743166120611875e+01,9.789905285976079063e-02,2.316584961310464708e-01
7.691761492957296298e+01,9.850067219767168203e-02,2.415028066816331809e-01
7.728779819793979300e+01,9.911370364480236173e-02,2.520878501331269561e-01
7.765798146630663723e+01,9.973830331190233767e-02,2.634854816145230094e-01
7.802816473467346725e+01,1.003746437817690240e-01,2.757751963346624091e-01
7.839834800304029727e+01,1.010229134754515729e-01,2.890447870949778286e-01
7.876853127140714150e+01,1.016833161319902895e-01,3.033909568139949164e-01
7.913871453977398573e+01,1.023560703919640241e-01,3.189198266463796894e-01
7.950889780814081575e+01,1.030414094759210530e-01,3.357472519913290432e-01
7.987908107650764578e+01,1.037395809496170912e-01,3.539988197175932272e-01
8.024926434487449001e+01,1.044508465688658849e-01,3.738093471531493961e-01
8.061944761324132003e+01,1.051754821976512849e-01,3.953216333625557688e-01
8.098963088160816426e+01,1.059137777939651581e-01,4.186841227847455382e-01
8.135981414997499428e+01,1.066660374585860910e-01,4.440470286978497882e-01
8.172999741834183851e+01,1.074325795427175795e-01,4.715563312072740820e-01
8.210018068670866853e+01,1.082137368110408365e-01,5.013449211974492226e-01
8.247036395507551276e+01,1.090098566573295402e-01,5.335200316862205305e-01
8.284054722344234278e+01,1.098213013703004115e-01,5.681460283783758003e-01
8.321073049180918701e+01,1.106484484478692243e-01,6.052217042050831441e-01
8.358091376017601704e+01,1.114916909584199312e-01,6.446515670344108440e-01
8.395109702854284706e+01,1.123514379481086872e-01,6.862114035499884412e-01
8.432128029690969129e+01,1.132281148935967707e-01,7.295098503355750275e-01
8.469146356527653552e+01,1.141221641999577846e-01,7.739499633328428274e-01
8.506164683364336554e+01,1.150340457438296105e-01,8.186978062601462103e-01
8.543183010201019556e+01,1.159642374621887434e-01,8.626683958933699659e-01
8.580201337037703979e+01,1.169132359874167915e-01,9.045417786875490362e-01
8.617219663874386981e+01,1.178815573296073810e-01,9.428216661676640520e-01
8.654237990711071404e+01,1.188697376073380163e-01,9.759437812356293040e-01
8.691256317547754406e+01,1.198783338283912342e-01,1.002429752042870215e+00
8.728274644384438830e+01,1.209079247221811898e-01,1.021066691176278685e+00
8.765292971221121832e+01,1.219591116258992303e-01,1.031077897530966681e+00
8.802311298057806255e+01,1.230325194266628508e-01,1.032244048304433282e+00
8.839329624894489257e+01,1.241287975622233641e-01,1.024942429572116565e+00
8.876347951731173680e+01,1.252486210830673630e-01,1.010093196189557174e+00
8.913366278567856682e+01,1.263926917790359761e-01,9.890278843063210479e-01
8.950384605404539684e+01,1.275617393738902039e-01,9.633150487287154284e-01
8.987402932241224107e+01,1.287565227915632160e-01,9.345835541790684653e-01
9.024421259077908530e+01,1.299778314981788196e-01,9.043760318746900673e-01
9.061439585914591532e+01,1.312264869242666665e-01,8.740496363563525772e-01
9.098457912751274534e+01,1.325033439719796036e-01,8.447259937074641512e-01
9.135476239587958958e+01,1.338092926125253046e-01,8.172819023964630336e-01
9.172494566424641960e+01,1.351452595794452038e-01,7.923680184287513750e-01
9.209512893261326383e+01,1.365122101638453767e-01,7.704430246806266425e-01
9.246531220098009385e+01,1.379111501181707056e-01,7.518134785303047796e-01
9.283549546934693808e+01,1.393431276756554038e-01,7.366728558830120122e-01
9.320567873771376810e+01,1.408092356931557043e-01,7.251362209140012061e-01
9.357586200608059812e+01,1.423106139257007963e-01,7.172690586138829039e-01
9.394604527444744235e+01,1.438484514417677496e-01,7.131101152044133640e-01
9.431622854281428658e+01,1.454239891890274083e-01,7.126887716083569746e-01
9.468641181118111660e+01,1.470385227211036261e-01,7.160377285233886502e-01
9.505659507954794663e+01,1.486934050967530507e-01,7.232017754412385369e-01
9.542677834791479086e+01,1.503900499638218813e-01,7.342432667912095479e-01
9.579696161628163509e+01,1.521299348413590324e-01,7.492447076581980614e-01
9.616714488464846511e+01,1.539146046143960167e-01,7.683085978878361200e-01
9.653732815301529513e+01,1.557456752571207137e-01,7.915544157696285943e-01
9.690751142138213936e+01,1.576248378015183416e-01,8.191123516747155220e-01
9.727769468974898359e+01,1.595538625700151647e-01,8.511131413813300961e-01
9.764787795811579940e+01,1.615346036922682971e-01,8.876731253945318034e-01
9.801806122648264363e+01,1.635690039279996677e-01,9.288735276290484011e-01
9.838824449484948786e+01,1.656590998197035869e-01,9.747329972971934264e-01
9.875842776321631789e+01,1.678070272011753516e-01,1.025172834490718277e+00
9.912861103158314791e+01,1.700150270901366334e-01,1.079975211717809191e+00
9.949879429994999214e+01,1.722854519957864594e-01,1.138736308373822004e+00
9.986897756831683637e+01,1.746207726749342548e-01,1.200818700822494867e+00
1.002391608366836664e+02,1.770235853734677678e-01,1.265310434179782950e+00
1.006093441050504964e+02,1.794966195933336839e-01,1.331001265854001581e+00
1.009795273734173406e+02,1.820427464289937625e-01,1.396388245358959779e+00
1.013497106417841849e+02,1.846649875214833592e-01,1.459721168801929592e+00
1.017198939101510149e+02,1.873665246828280784e-01,1.519091869546749018e+00
1.020900771785178449e+02,1.901507102486805767e-01,1.572559875563514398e+00
1.024602604468846891e+02,1.930210782226971233e-01,1.618293960905929918e+00
1.028304437152515192e+02,1.959813562824627986e-01,1.654700851246567517e+00
